-1.51,0.171,5.2,0.914,1
-1.85,0.237,4.01,0.239,1
-1.88,0.156,5.97,1.37,1
-1.64,0.123,7.26,1.05,1
-1.47,0.364,5.6,0.84,1
-1.8,0.456,3.75,1.33,1
-1.12,0.209,6.09,0.191,1
-2.07,0.247,4.26,1.28,1
-0.567,0.199,3.81,0.263,1
-1.3,0.292,5.09,1.34,1
-0.848,0.112,3.46,1.84,1
-1.55,0.177,4,1.22,1
-1.89,0.375,3.68,0.911,1
-1.68,0.415,5.91,0.821,1
-1.59,0.348,4.8,1.75,1
-0.951,0.276,4.11,1.72,1
-2.14,0.557,4.79,1.75,1
-2.18,0.172,6.03,1.06,1
-1.15,0.355,3.84,2.13,1
-0.937,0.346,5.55,0.889,1
-1.73,0.286,6.07,1.29,1
-1.23,0.256,5.54,1.14,1
-1.69,0.449,4.48,1.6,1
-1.62,0.141,5.58,0.387,1
-1.12,0.31,4.03,0.303,1
-1.72,0.235,4.29,0.713,1
-1.3,0.522,5.89,-0.16,1
-2.35,0.22,4.5,1.03,1
-1.19,0.338,6.1,1.52,1
-0.877,0.314,5.41,0.26,1
-1.42,0.225,5.4,1.55,1
-1.63,0.224,3.3,1.73,1
-0.943,0.35,4.71,1.02,1
-2.1,0.186,5.68,2.59,1
-1.91,0.334,3.78,0.954,1
-1.73,0.245,4.35,1.18,1
-1.94,0.186,5.35,0.977,1
-1.65,0.181,6.07,0.052,1
-1.48,0.342,6.39,0.691,1
-1.26,0.335,4.01,0.407,1
-1.08,0.348,5.56,1.34,1
-2,0.338,3.66,1.05,1
-1.1,0.361,4.74,0.914,1
-1.43,0.532,4.39,1.21,1
-2.12,0.307,4.51,1.62,1
-1.26,0.335,4.01,0.407,1
-0.935,0.377,5.12,-0.00471,1
-1.73,0.0868,5.81,1.27,1
-1.92,0.177,5.31,1.96,1
-1.86,0.218,4.06,0.977,1
-1.53,0.227,4.57,1.4,1
-0.83,0.34,4.07,1.12,1
-1.74,0.369,5.09,0.557,1
-1.22,0.287,3.94,1.05,1
-1.63,0.154,4.87,1.43,1
